연번,자치구,ID,정류소명,주소,행정동명,위도,경도
1,동구,1001,계림사거리(서방시장(서)),광주광역시 동구 계림동 95-2,동구 계림동,35.161232801781,126.920420488159
2,동구,1002,계림사거리(광주고),광주광역시 동구 계림동 553-13,동구 계림동,35.1623051940431,126.919942095849
3,동구,1003,광주고/4.19역사관(대인시장(동)),광주광역시 동구 계림동 95-2,동구 계림동,35.161232801781,126.920420488159
4,동구,1004,광주고/4.19역사관(계림사거리),광주광역시 동구 계림동 242-2,동구 계림동,35.1582240025235,126.920601331118
5,동구,1005,4.19기념관(광주고),광주광역시 동구 계림동 505-329,동구 계림동,35.1612969977135,126.920038903343
6,동구,1006,4.19기념관(순복음교회),광주광역시 동구 계림동 505-329,동구 계림동,35.1612969977135,126.920038903343
7,동구,1007,대인시장(동)(전남여고),광주광역시 동구 계림동 381-14,동구 계림동,35.153863321446,126.919656568021
8,동구,1008,대인시장(동)(광주고),광주광역시 동구 계림동 95-2,동구 계림동,35.161232801781,126.920420488159
9,동구,1009,서방사거리육교(계림사거리),광주광역시 동구 계림동 547-12,동구 계림동,35.1637162115026,126.919443819462
10,동구,1010,서방사거리육교(서방시장(남)),광주광역시 동구 계림동 95-2,동구 계림동,35.161232801781,126.920420488159
11,동구,1011,계림초교후문(동진맨션),광주광역시 동구 계림동 66-1,동구 계림동,35.1604897434178,126.92396375847
12,동구,1012,계림초교후문(4.19기념관),광주광역시 동구 계림동 66-1,동구 계림동,35.1604897434178,126.92396375847
13,동구,1013,동진맨션(계림초교후문),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
14,동구,1014,농장다리(동구노인복지회관),광주광역시 동구 지산동 724-2,동구 지산동,35.1513552450867,126.930525170151
15,동구,1015,동구노인종합복지관(농장다리),광주광역시 동구 동명동 200,동구 동명동,35.1517520829703,126.924016005884
16,동구,1016,동구노인종합복지관(동구청),광주광역시 동구 동명동 200,동구 동명동,35.1517520829703,126.924016005884
17,동구,1017,살레시오여고(조선대),광주광역시 동구 동명동 126-1,동구 동명동,35.1474272281919,126.927942805721
18,동구,1018,살레시오여고(법원입구),광주광역시 동구 동명동 126-1,동구 동명동,35.1474272281919,126.927942805721
19,동구,1019,동진맨션(산수동우체국),광주광역시 동구 계림동 519-10,동구 계림동,35.1591452054864,126.926925571114
20,동구,1020,두암지구입구(두암타운후문),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
21,동구,1021,두암지구입구(산수오거리),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
22,동구,1022,산수동우체국(동진맨션),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
23,동구,1023,산수동우체국(법원입구),광주광역시 동구 산수동 553-46,동구 산수동,35.1554901023915,126.93076431509
24,동구,1024,산수시장(법원입구),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
25,동구,1025,산수시장(장원초교(서)),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
26,동구,1026,산수오거리(두암지구입구),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
27,동구,1027,산수오거리(법원입구),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
28,동구,1028,산수오거리(연천)(장원초교(서)),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
29,동구,1029,두암타운후문(율곡초교),광주광역시 동구 산수동 576,동구 산수동,35.1605102788194,126.931812201196
30,동구,1031,산수2동행정복지센터(동산아파트),광주광역시 동구 산수동 512-21,동구 산수동,35.1538068470653,126.936419458391
31,동구,1032,산수2동행정복지센터(호남맨션),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
32,동구,1033,율곡초교(두암타운후문),광주광역시 동구 산수동 576,동구 산수동,35.1605102788194,126.931812201196
33,동구,1034,장원초교(동)(산수시장),광주광역시 동구 산수동 716,동구 산수동,35.1569481469738,126.936361698807
34,동구,1035,장원초교(동)(산수무등파크),광주광역시 동구 산수동 62-1,동구 산수동,35.1563047740837,126.937434370142
35,동구,1036,장원초교(서)(산수무등파크),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
36,동구,1037,산수무등파크(신양파크호텔),광주광역시 동구 산수동 498-8,동구 산수동,35.1569796713043,126.939663599789
37,동구,1038,산수무등파크(장원초교(동)),광주광역시 동구 산수동 95-6,동구 산수동,35.1571087347909,126.940003959515
38,동구,1039,호남맨션(율곡초교),광주광역시 동구 산수동 561-1,동구 산수동,35.1563158281523,126.931699254048
39,동구,1040,호남맨션(장원초교(동)),광주광역시 동구 산수동 508-17,동구 산수동,35.1576440227585,126.935388954996
40,동구,1041,동구청(전남여고),광주광역시 동구 서석동 44-2,동구 서석동,35.1464484868064,126.921908129523
41,동구,1042,문화전당역(동구청),광주광역시 동구 남동 169-3,동구 남동 ,35.1454581625778,126.919026594477
42,동구,1044,동구청(전남대병원오거리),광주광역시 동구 광산동 112-4,동구 광산동,35.1477956105133,126.921829255841
43,동구,1045,전남대병원오거리(문화전당역),광주광역시 동구 남동 89,동구 남동 ,35.1439236649189,126.921184200787
44,동구,1046,전남대병원오거리(전남대병원/남광주시장),광주광역시 동구 남동 89,동구 남동 ,35.1439236649189,126.921184200787
45,동구,1047,조선대(서남동주민센터),광주광역시 동구 서석동 427-2,동구 서석동,35.1446924469098,126.925915745445
46,동구,1048,조선대(살레시오여고),광주광역시 동구 서석동 421-1,동구 서석동,35.1447060588399,126.926213448854
47,동구,1049,서남동행정복지센터(조선대),광주광역시 동구 서석동 27-3,동구 서석동,35.1450074821174,126.923751114515
48,동구,1050,서남동행정복지센터(문화전당역),광주광역시 동구 서석동 27-3,동구 서석동,35.1450074821174,126.923751114515
49,동구,1051,농장다리(법원입구),광주광역시 동구 동명동 162-2,동구 동명동,35.151236114546,126.926748928864
50,동구,1052,매일시장입구(살레시오여고),광주광역시 동구 지산동 443-24,동구 지산동,35.1483522424547,126.931583875932
51,동구,1053,매일시장입구(지산2동주민센터),광주광역시 동구 지산동 443-10,동구 지산동,35.1481993594685,126.931722168338
52,동구,1054,법원(지산2동주민센터),광주광역시 동구 지산동 715-40,동구 지산동,35.1504406688475,126.932987076141
53,동구,1055,법원(농장다리),광주광역시 동구 지산동 725-1,동구 지산동,35.151496865463,126.931663882448
54,동구,1056,법원입구(살레시오여고),광주광역시 동구 지산동 724-2,동구 지산동,35.1513552450867,126.930525170151
55,동구,1057,법원입구(산수오거리),광주광역시 동구 지산동 724-2,동구 지산동,35.1513552450867,126.930525170151
56,동구,1058,동산아파트(동산초교옆),광주광역시 동구 지산동 705-20,동구 지산동,35.1515016022997,126.936562494589
57,동구,1059,동산아파트(산수2동주민센터),광주광역시 동구 지산동 724-1,동구 지산동,35.1492038537592,126.936563729148
58,동구,1060,동산초교(동산아파트),광주광역시 동구 지산동 724-1,동구 지산동,35.1492038537592,126.936563729148
59,동구,1061,동산초교(법원),광주광역시 동구 지산동 724-1,동구 지산동,35.1492038537592,126.936563729148
60,동구,1062,동산초교옆(동산아파트),광주광역시 동구 지산동 724-1,동구 지산동,35.1492038537592,126.936563729148
61,동구,1063,동산초교옆(지산2동주민센터),광주광역시 동구 지산동 227-3,동구 지산동,35.1488656661386,126.936741993643
62,동구,1064,단사공원(동산초교옆),광주광역시 동구 지산동 198-9,동구 지산동,35.1479031420274,126.938393133825
63,동구,1065,단사공원(지산유원지입구),광주광역시 동구 지산동 198-9,동구 지산동,35.1479031420274,126.938393133825
64,동구,1066,신양파크호텔(산수무등파크),광주광역시 동구 지산동 20-12,동구 지산동,35.153258769522,126.942639645693
65,동구,1067,신양파크호텔(지산유원지),광주광역시 동구 산수동 9-6,동구 산수동,35.1535063239044,126.941220203637
66,동구,1068,지산2동행정복지센터(동산초교옆),광주광역시 동구 지산동 691-58,동구 지산동,35.1476902225952,126.936267177136
67,동구,1069,지산2동행정복지센터(매일시장입구),광주광역시 동구 지산동 456-1,동구 지산동,35.1477360347853,126.935290228788
68,동구,1070,지산유원지(신양파크호텔),광주광역시 동구 지산동 산 46-9,동구 지산동,35.1501405526351,126.944862833812
69,동구,1071,지산유원지입구(지산유원지),광주광역시 동구 지산동 112,동구 지산동,35.1491316281948,126.943426763168
70,동구,1072,교동(용연정수장),광주광역시 동구 선교동 227-1,동구 선교동,35.0898147893199,126.950096126687
71,동구,1073,교동(선교),광주광역시 동구 선교동 산 51-1,동구 선교동,35.0930224070857,126.950988401058
72,동구,1074,내남입구(남계육교),광주광역시 동구 내남동 17,동구 내남동,35.0964784698211,126.940395628678
73,동구,1075,내남입구(주남),광주광역시 동구 내남동 17,동구 내남동,35.0964784698211,126.940395628678
74,동구,1076,남계촌(남계(화순)),광주광역시 동구 내남동 산 16-1,동구 내남동,35.0937657621347,126.941615909539
75,동구,1077,남계촌(내지),광주광역시 동구 내남동 17,동구 내남동,35.0964784698211,126.940395628678
76,동구,1078,내남(법림사),광주광역시 동구 내남동 540-4,동구 내남동,35.0890243939544,126.931324978393
77,동구,1079,육판리(선교),광주광역시 동구 내남동 28-2,동구 내남동,,
78,동구,1080,육판리(남계육교),광주광역시 동구 내남동 854-2,동구 내남동,35.0916135450355,126.942905026972
79,동구,1081,너릿재공원(선교),광주광역시 동구 선교동 482,동구 선교동,35.0837940486972,126.950889091208
80,동구,1082,녹동(주남),광주광역시 동구 월남동 157,동구 월남동,35.1034113732837,126.939002564684
81,동구,1083,녹동(남구문화예술회관),광주광역시 동구 월남동 157,동구 월남동,35.1034113732837,126.939002564684
82,동구,1084,법림사(내지),광주광역시 동구 내남동 189-2,동구 내남동,35.086660270115,126.937122434705
83,동구,1085,법림사(내남),광주광역시 동구 내남동 189-2,동구 내남동,35.086660270115,126.937122434705
84,동구,1086,선교지구입구(내지),광주광역시 동구 선교동 475,동구 선교동,35.0899062039086,126.945525085838
85,동구,1087,선교지구입구(화순터널),광주광역시 동구 선교동 475,동구 선교동,35.0899062039086,126.945525085838
86,동구,1088,월남동(주남),광주광역시 동구 월남동 177,동구 월남동,35.1016643996043,126.93858149211
87,동구,1089,주남(월남동),광주광역시 동구 월남동 157,동구 월남동,35.1034113732837,126.939002564684
88,동구,1090,주남(녹동),광주광역시 동구 월남동 157,동구 월남동,35.1034113732837,126.939002564684
89,동구,1091,가야농원(용산교(동구)),광주광역시 동구 용산동 636-299,동구 용산동,35.123459374049,126.929977175729
90,동구,1092,가야농원(빛고을복지회관),광주광역시 동구 용산동 636,동구 용산동,35.1214949987935,126.931341948805
91,동구,1093,광주남초교(동구문화센터),광주광역시 동구 소태동 867,동구 소태동,35.1273715413664,126.930875233215
92,동구,1094,광주남초교(소태역),광주광역시 동구 소태동 585-28,동구 소태동,35.1274105301312,126.930646886421
